Id,Keywords,Authors,Accesses,Journal,main_topic_15
18,"['Healthcare expenditure', 'Club convergence', 'Club clustering', 'Convergence', 'Health policy', 'Australia', 'H75', 'C22']",Kris Ivanovski,60,Empirical Economics,Biomedicine
19,"['Mobile devices', 'Digital distractions', 'Policy', 'Contributors of policies', 'Bring your own device', 'Higher education', 'Classroom']",Ieda M. Santos,147,TechTrends,Education
20,"['Wage share', 'Euro Area', 'Trade imbalances', 'Demand regime', 'SVAR', 'E12', 'F15', 'F45']",Giovanni Covi,125,Empirica,Biomedicine
21,"['Amorphous–nanocrystalline alloy', 'Heterogeneous structure', 'Catalytic efficiency', 'Degradation']","Pengfei Zhang, Yin’an Zhu, Yue Zhang, Tao Lu & Ye Pan",12,Applied Physics A,Biomedicine
22,"['Tile low-rank GEMM', 'Performance optimization', 'Sunway architecture', 'Scalability']","Qingchang Han, Hailong Yang, Zhongzhi Luan & Depei Qian",114,The Journal of Supercomputing,Computer Science
23,"['Territorial marginalisation', 'European cohesion policies', 'Italian inner areas', 'Regeneration', 'Slow tourism']","Ludovica Sechi, Rossella Moscarelli & Paolo Pileri",1312,"City, Territory and Architecture",Computer Science
24,"['Phase field', 'Linear scheme', 'Cahn-Hilliard equation', 'Physics informed neural network', '65M32']",Jia Zhao,9,Communications on Applied Mathematics and Computation,Education
25,"['Personality traits', 'Menopausal symptoms', 'Menopause', 'Perimenopause']",Małgorzata Włodarczyk,690,Current Psychology,Geography 2
26,[],Albert Doja,713,"Crime, Law and Social Change",Education
27,"['Investment', 'OECD countries', 'Structural policies', 'Regulation', 'Public policies', 'E22', 'E6', 'H1', 'H2']",Balázs Égert,8,Comparative Economic Studies,Education
28,"['Helicopter parenting', 'Basic psychological needs', 'Empathetic concern', 'Perspective-taking', 'Prosocial behaviors']","Holly H. Schiffrin, Miranda L. Batte-Futrell, Nichole M. Boigegrain, Christine N. Cao & Erin R. Whitesell",287,Journal of Child and Family Studies,Biomedicine
29,"['Corrigendum', 'Phylogenetic Combinatorics', 'Colored digraph', 'Rooted triples', '05C05', '68R10', '92-10', '92B10']","David Schaller, Bärbel M. R. Stadler & Peter F. Stadler",386,Journal of Mathematical Biology,Computer Science
30,"['Gradient Gibbs measures', 'Phase transitions', 'Random conductance model', '82B05', '82B26', '82B20']",Simon Buchholz,225,Probability Theory and Related Fields,Mathematics
31,"['Coastal dune management', 'Nature conservation', 'Coastal dune evolution']",Irene Delgado-Fernandez,3169,Journal of Coastal Conservation,Geography
32,"['Distraction', 'Working memory capacity', 'Emotion regulation', 'Attention control']","Ryota Kobayashi, Makoto Miyatani & Takashi Nakao",742,Current Psychology,Geography
33,"['Aggression', 'Peer victimization', 'Adolescents', 'Aggressive-victims', 'Psychosocial adjustment', 'Systematic review']",Kelly E. O’Connor,34,Clinical Child and Family Psychology Review,Education
34,"['Emotion regulation', 'Aging', 'Positive reappraisal', 'Mindful attention', 'Fear']","Brooke Brady, Craig Gonsalvez, Ella Wufong & Phoebe E. Bailey",177,Mindfulness,Geography
35,"['Cortical development', 'Intravenous chemotherapy', 'Childhood sarcoma']","Charlotte Sleurs, Jeroen Blommaert & Anne Uyttebroeck",168,Brain Imaging and Behavior,Physics
36,"['Software security', 'Linux kernel vulnerability', 'Vulnerability taxonomies']",Alireza Shameli-Sendi,33,Journal of Computer Virology and Hacking Techniques,Education
37,"['Parental incarceration', 'Life course', 'Young adulthood', 'Collateral consequences']",Brae Young,255,Journal of Developmental and Life-Course Criminology,Physics
38,"['Truth', 'Properties', 'Extrinsic', 'Relational']",Douglas Edwards,352,Synthese,Education
39,"['RTLB', 'Line balancing', 'Constraint generation', 'Simulated annealing', 'Matheuristic', 'Approximation algorithm']",Youssef Lahrichi,43,Journal of Heuristics,Economics
40,"['Urban growth', 'Spatial pattern', 'Simulation', 'FUTURES']","Pavithra Jayasinghe, Venkatesh Raghavan & Go Yonezawa",56,Spatial Information Research,Education
41,"['Resistance to Peer Influence', 'Deviant Peer Association', 'Group-Based Trajectory Modeling', 'Juvenile Offenders']",Thomas W. Wojciechowski,238,Journal of Developmental and Life-Course Criminology,Mathematics
42,"['Personal identity', 'Subject of experience', 'Dan Zahavi', 'Erich Klawonn']",Wolfgang Fasching,915,Phenomenology and the Cognitive Sciences,Education
43,"['Clinical education', 'Cross-sectional study', 'Nurse–patient relations', 'Nursing education', 'Nursing students', 'Patient participation']",Arja Suikkala & Sanna Koskinen,1711,Advances in Health Sciences Education,Mathematics
44,"['Global navigation satellite system', 'Ionospheric scintillations', 'Equatorial spread F', 'Geomagnetic storm']","T. Venkateswara Rao, M. Sridhar, D. Venkata Ratnam & P. B. Sree Harsha",44,Journal of Astrophysics and Astronomy,Geography 2
45,"['Multirate time-stepping', 'Galerkin time discretization', 'A posteriori error estimation', 'Partitioned solution', '65M60', '65M15', '65M50', '74F10']",Martyna Soszyńska & Thomas Richter,137,BIT Numerical Mathematics,Education
46,"['Internet of vehicles', 'Edge computing', 'Computing offloading', 'Software defined network', 'Privacy protection', 'Deep reinforcement learning algorithm']",Kun Wang & Xiaofeng Wang,68,Journal of Grid Computing,Education
47,"['Web page classification', 'Transfer learning', 'Residual inception modelling', 'Pre-trained model']",Amit Gupta & Rajesh Bhatia,41,Multimedia Tools and Applications,Psychology
48,"['Gettier case', 'Deviant realizations', 'Default interpretation', 'Thought experiments', 'Pragmatics']",Pierre Saint-Germier,253,Synthese,Philosophy
49,"['Gully erosion', 'Ensemble model', 'Geospatial modelling', 'Sensitivity analysis']","Tusar Kanti Hembram, Gopal Chandra Paul & Sunil Saha",145,Applied Geomatics,Philosophy
50,"['Asset pricing', 'Radner equilibrium', 'Transaction costs', 'Forward-backward SDEs', '91G10', '91G80', '60H10', 'C68', 'D52', 'G11', 'G12']",Martin Herdegen,502,Finance and Stochastics,Education
51,"['Wireless sensor networks', 'Localization', 'Unmanned aerial vehicle', 'Optimization-based least square localization', 'Multilayer perceptron', 'Radial basis function']","Visalakshi Annepu, Anbazhagan Rajesh & Kalapraveen Bagadi",27,Neural Computing and Applications,Psychology
52,"['Consistent histories', 'Scientific representation', 'Scientific models', 'Modalities', 'Perspectivism', 'Interpretation of quantum mechanics']",Quentin Ruyant,54,Foundations of Science,Biomedicine
53,"['Data stream classification', 'Ensemble learning', 'Recurring concept drift', 'Unlabeled data']","Peipei Li, Man Wu & Xuegang Hu",0,New Generation Computing,Biomedicine
54,"['Cutaneous melanoma', 'Metastasis', 'Prognosis', 'Bioinformatics', 'Differentially expressed genes']",Guoliang Jia,183,BMC Medical Genomics,Philosophy
55,[],E. V. Bulinskaya & B. I. Shigida,4,Journal of Mathematical Sciences,Economics
56,"['Multiphase flow through porous media', 'Dual evolution mixed variational problem', 'Composition duality method', 'Qualitative set-valued variational analysis', 'Dual semi-implicit time-marching scheme', 'Parallel proximal penalty–duality algorithm', '47J30', '47J35', '49J53', '49M29', '76S05', '76T30']",Gonzalo Alduncin,9,GEM - International Journal on Geomathematics,Biomedicine
57,"['managed aquifer recharge', 'treated wastewater', 'salinity line', 'coastal aquifer', 'Oman']","Mustafa El-Rawy, Ali Al-Maktoumi, Slim Zekri & Osman Abdalla",145,Journal of Arid Land,Geography 2
58,"['Car ownership', 'Life events', 'Latent class competing risks model', 'Heterogeneity']","Gaofeng Gu, Tao Feng & Harry Timmermans",1085,Transportation,Mathematics
59,"['Time-saving goods', 'Optimal taxation', 'Home labor', 'Home production', 'Time allocation', 'H21', 'D13', 'J22']",Cristian F. Sepulveda,49,International Tax and Public Finance,Psychology 2
60,"['Noether–Lefschetz components', 'Codimension', 'Toric varieties', '14C22', '14J70', '14M25']",Ugo Bruzzo & William D. Montoya,48,European Journal of Mathematics,Psychology
61,"['E-government websites', 'Disability', 'Usability', 'Accessibility', 'Mobile readiness', 'WCAG 2.0', 'India']",Gaurav Agrawal,76,Universal Access in the Information Society,Education
62,"['Phylogenetic algebraic geometry', 'Syntactic parameters', 'Historical linguistics', 'Phylogenetic trees', 'Indo-European languages', '91F20', '92D15', '05C85', '60J10']","Kevin Shu, Andrew Ortegaray & Matilde Marcolli",23,Mathematics in Computer Science,Biomedicine
63,"['ORCID', 'Author identifier', 'PubMed', 'Web of Science', 'Country', 'Publisher']",Christophe Boudry,235,Scientometrics,Economics
64,"['Corrections officer', 'Prison', 'Pregnancy', 'Maternal and child health', 'Doula', 'Mixed methods']",Virginia Pendleton,2748,Health & Justice,Biomedicine
65,[],Ruiwen Shu,99,Archive for Rational Mechanics and Analysis,Biomedicine
66,"['Dose accumulation', 'Linear quadratic model', 'Image guidance', 'Delivered dose', 'Normal tissue response', 'Radiobiology']","Nina I. Niebuhr, Mona Splinter & Asja Pfaffenberger",253,Radiation Oncology,Economics
67,"['Particle swarm optimization', 'Genetic algorithm', 'Accelerator power supply', 'Linear quadratic regulator optimal controller', 'Weighting matrix']","Xianqiang Zeng, Jingwei Zhang & Hengjie Li",31,Radiation Detection Technology and Methods,Biomedicine
68,"['Moral responsibility', 'Reactive attitudes', 'Collective harm', 'Shared responsibility', 'Blame']",Gunnar Björnsson,301,Philosophical Studies,Physics
69,"['GIS', 'Remote sensing', 'MCE', 'AHP', 'Groundwater prospective zones']",Nebare Poi,157,Applied Geomatics,Psychology
70,"['Decriminalisation', 'Sex work legislation', 'Prostitution Reform Act', 'Sex work', 'Prostitution']",Peyton Bond,87,Sexuality Research and Social Policy,Geography
71,"['Approximate operator representations', 'Banach spaces', 'Iterated systems', 'Suborbits', '42C15']",Ole Christensen,20,Complex Analysis and Operator Theory,Mathematics
72,"['Working memory;', 'Cross-lagged models;', 'ECLS-K;', 'Autoregressive models;', 'Ergodicity']",David F. Feldon & Kaylee Litson,140,Educational Psychology Review,Geography 2
73,"['Hafnium-based MAX phases', 'Vibrational properties', 'Thermodynamic properties', 'Optical properties', 'First-principles']","M M Uddin, M A Ali & M M Hossain",66,Indian Journal of Physics,Psychology
74,"['Summer reading program', 'Randomized experiment', 'Migrant children in migrant schools', 'China']","Qian Guo, Yan Liu, Yan Peng & Li Yang",231,Asia Pacific Education Review,Criminology and Crime Justice
75,"['Technology surveillance', 'Technology watch', 'Technology monitoring', 'Competitive intelligence', 'Text mining']",Daniel San Martin Pascal Filho,19,Journal of Intelligent Information Systems,Biomedicine
76,"['Cultural competence', 'Dental students', 'Oral health']","Rodrigo Mariño, Julie Satur, Eren Tuncer, Megan Tran, Elizabeth Milford, Vivien Minh Thien Huong Tran, Phuong Qui Tran & Richard Pei-Hua Tsai",306,BMC Medical Education,Education
77,[],H. Capellmann,313,Foundations of Physics,Geography
78,"['Parkinson’s disease model', 'Extracellular vesicles', 'Gait', 'Learning/memory']","Karīna Narbute, Vladimirs Pilipenko, Jolanta Pupure, Toms Klinovičs, Jānis Auders & Vija Kluša",229,Cellular and Molecular Neurobiology,Criminology and Crime Justice
79,"['Color filter array', 'Image demosaicking', 'Tamper detection', 'Image recovery', 'Block truncation coding', 'Reversibility preserving']",Yu-Hsiu Lin,29,Multimedia Tools and Applications,Computer Science
80,"['Amphetamine', 'S-100β', 'Cardiotoxicity', 'QTc interval', 'Neurotoxicity']",Asmaa F. Sharif & Dina El Gameel,94,Cardiovascular Toxicology,Psychology 2
81,"['Attachment', 'Depressive symptoms', 'Emotion regulation', 'Adolescence']","Martine W. F. T. Verhees, Chloë Finet & Guy Bosmans",248,Journal of Youth and Adolescence,Psychology
82,"['Risk perception', 'Nutrient management', 'Agriculture', 'Water quality', 'Nutrient loss', 'Farmers']",Elizabeth R. Schwab & Margaret M. Kalcic,98,Agriculture and Human Values,Mathematics
83,"['Cybercivility', 'Health professions education', 'Pedagogical foundation', 'Scoping review']","Jennie C. DE GAGNE, Paula D. KOPPEL & Sharron RUSHTON",1679,BMC Medical Education,Computer Science
84,"['Covid-19 crisis', 'Curriculum', 'Curriculum responsiveness', 'Learning', 'Pakistan']",Rani Gul,593,PROSPECTS,Computer Science
85,"['Spatial generalized linear mixed models (SGLMM)', 'Social proximity', 'Commuting data', 'Police data initiative']",Claire Kelling,372,Journal of Quantitative Criminology,Psychology 2
86,"['Prostitution', 'The Netherlands', 'Local authorities', 'Legislation', 'Tolerance policy', 'Feinberg']","Che Post, Jan G. Brouwer & Michel Vols",16000,European Journal on Criminal Policy and Research,Geography 2
87,"['Global optimization', 'Salp Swarm Algorithm', 'Nature-inspired algorithms', 'Exploration and exploitation']",Shubham Gupta & Kusum Deep,402,Engineering with Computers,Education
88,"['Privacy', 'Internet of things', 'Distributed systems', 'Blockchain', 'Computer networks', 'Systematic literature review']",Wenbing Liang,110,Cluster Computing,Computer Science
89,"['Inflation expectations', 'Joint yield-curve modeling', 'Factor model', 'Common trend', 'Spatial–temporal copulas', 'C02', 'C13', 'C38', 'E31', 'E43']",Shi Chen,42,Empirical Economics,Psychology
90,"['New paradox', 'Selleri’s paradox', 'Sagnac effect', 'Maxwell equations', 'Conventionality of simultaneity', 'Equivalence', 'General relativity']",Hongyu Guo,13,Synthese,Philosophy
91,"['Black youth', 'Adolescence', 'Intergenerational relationships', 'Natural mentoring, Mixed-method']","Janelle T. Billingsley, Ariana J. Rivens & Noelle M. Hurd",191,Journal of Child and Family Studies,Computer Science
92,"['Estuarine equilibrium', 'End point rate (EPR)', 'Net shoreline movement (NSM)', 'Shoreline change envelop (SCE)', 'Wave character']",Abhishek Ghosh,205,Journal of Coastal Conservation,Philosophy
93,"['Spatial data mining', 'Trajectory mining', 'Ride-sharing', 'Route planning']","Haojia Zuo, Bo Cao, Ying Zhao, Bilong Shen & Weimin Zheng",182,The Journal of Supercomputing,Education
94,"['Synapse', 'Spontaneous preterm birth', 'Preeclampsia', 'Gestational diabetes mellitus', 'Exosomes']",Yangwu Fang & Mei Zhong,142,Journal of Translational Medicine,Psychology
95,"['Epilepsy', 'Otilonium Bromide', 'Seizure', 'Pentylenetetrazol']",Arife Erdogan,33,Neurochemical Research,Philosophy
96,"['Experience', 'High-conflict divorce', 'Institutional ethnography', 'Institutional circuit', 'Parents']",Bård Bertelsen,163,Contemporary Family Therapy,Computer Science
97,"['erythrocyte sedimentation rate (ESR)', 'natural geographical factors', 'case-based reasoning (CBR)', 'China']",Qingsheng Yang,28,Chinese Geographical Science,Geography
98,"['Wireless sensor networks', 'Camera sensors', 'Column generation', 'Genetic algorithms']",André Rossi,101,Journal of Heuristics,Psychology
99,"['Meaning salience', 'Meaning in life', 'Anxiety', 'Depression', 'Stress']","Kristine Klussman, Austin Lee Nichols & Julia Langer",288,Current Psychology,Computer Science
100,"['Multiple autonomy support', 'Gender', 'SES', 'Perceived competence in learning', 'School achievement']",Francisco Simões & Maria Manuela Calheiros,81,Current Psychology,Geography
101,"['Reference values', 'Oxygen consumption', 'Cardiorespiratory fitness', 'Exercise test', 'Ergometry']",Geertje E. van der Steeg,1467,European Journal of Applied Physiology,Geography 2
102,"['high-standard basic farmland', 'cultivated land quality uniformity', 'barrier factor', 'arrangement']","Wen Song, Kening Wu, Huafu Zhao, Rui Zhao & Ting Li",143,Chinese Geographical Science,Physics 2
103,"['Compassion focused therapy', 'Conduct disorder', 'Detained youth', 'Individual psychotherapeutic interventions', 'Juvenile justice system', 'Psychopathic traits', 'PSYCHOPATHY.COMP']","Diana Ribeiro da Silva, Daniel Rijo, Marlene Paulo & Rita Miguel",433,Journal of Experimental Criminology,Education
104,"['Brain tumor', 'Depression', 'PET', 'Tryptophan', 'Serotonin', 'Kynurenine pathway']",Flóra John & Csaba Juhász,186,Brain Imaging and Behavior,Physics
105,"['Co-evaporation', 'Magnetoresistance', 'Size dependence', 'Heat treatment']","I. M. Pazukha, D. O. Shuliarenko & O. V. Pylypenko",15,Applied Physics A,Computer Science
106,"['International', 'World-wide', 'Geographical distribution', 'Time series', 'Determinants', 'Common crime', 'Organised crime']",Jan van Dijk,997,Journal of Quantitative Criminology,Physics
107,"['Law of Crime Concentration', 'Gini coefficient', 'Property crime', 'Tokyo', 'Osaka', 'Japan']",Mamoru Amemiya,3933,Crime Science,Mathematics
108,"['High-resolution airborne imagery', 'Automatic car extraction', 'Deep learning', 'Convolutional neural networks', 'Restricted Boltzmann machine']",Mehdi Khoshboresh Masouleh & Reza Shah-Hosseini,226,Applied Geomatics,Psychology
109,"['Magic-angle-spinning solid-state NMR', '\n1H-detection', 'Maltose binding protein', 'Microcrystals']",Tobias Schubeis & Guido Pintacuda,19,Biomolecular NMR Assignments,Philosophy
110,"['Trade', 'Exports', 'European Monetary Union', 'High technology', 'Knowledge-based economy', 'Poisson Pseudo-maximum Likelihood']","Timo Tohmo, Kari Heimonen & Mika Nieminen",145,"Journal of Industry, Competition and Trade",Economics
111,"['Teacher knowledge', 'Teacher expertise', 'Event processing', 'Classroom management', 'Teachers’ professional vision']",Charlotte E. Wolff,3108,Educational Psychology Review,Psychology 2
112,"['Ignorance', 'Presumption of equality', 'Justice', 'Justification', 'Burden of proof']",Juha Räikkä,747,Synthese,Philosophy
113,"['Banking sector', 'Non financial institutions', 'Money laundering', 'Game theory', 'G21', 'G23', 'C78', 'K42']",Shital Jayantilal,661,European Journal on Criminal Policy and Research,Economics
114,[],"Melina Elizabeth Barrios, María Dolores Blanco Fernández, Robertina Viviana Cammarata, Carolina Torres, Pablo Power & Viviana Andrea Mbayed",100,Archives of Virology,Geography
115,"['Ecotones', 'Postdigital', 'Digital', 'Analogue', 'Dichotomies']",Thomas Ryberg & Jacob Davidsen,166,Postdigital Science and Education,Mathematics
116,"['Directional spectral emissivity', 'Measurement apparatus', 'Near infrared spectrum', 'Uncertainty']","Kun Yu, Ruirui Tong, Kaihua Zhang, Yanlei Liu & Yufang Liu",47,International Journal of Thermophysics,Biomedicine
117,"['Polynomial knot', 'topologies on a set', 'homotopy type of a space', 'Primary: 57M25', '57R40', 'Secondary: 54A10', '55P10', '55P15']",Hitesh Raundal,26,Proceedings - Mathematical Sciences,Mathematics
118,"['Yes–No game', 'Repetition', 'Learning', 'Veto power', 'Laboratory experiment', 'C72 ', 'C92']",Werner Güth,40,Evolutionary and Institutional Economics Review,Philosophy
119,"['Psychological stress', 'Police', 'Training', 'Inflammation', 'Fitness']",Sally Lark & Rebecca Kurtovich,409,Journal of Police and Criminal Psychology,Psychology 2
120,['Phenomenological Models'],Hanna Mies,15,Journal of High Energy Physics,Geography 2
121,"['Cross-cultural', 'WEIRD', 'Social learning', 'Imitation', 'Conformity']","Frankie T. K. Fong, Jonathan Redshaw & Mark Nielsen",79,Journal of Cultural Cognitive Science,Geography 2
122,"['COVID-19', 'Law Enforcement', 'Pandemic', 'Policing', 'Rural', 'Victimization']",J. Andrew Hansen,3003,American Journal of Criminal Justice,Computer Science
123,"['Facilitation strategies', 'Critical thinking', 'Asynchronous online discussions', 'High school', 'Economics']",Soon Yen Foo,7,Asia Pacific Education Review,Education
124,"['Cystic fibrosis', '\nPandoraea\n', 'Drug repurposing', 'Comparative genomic', 'Extensively drug-resistant bacteria']","Lucie Peyclit, Sophie Alexandra Baron, Martine Reynaud-Gaubert, Nadim Cassir & Jean-Marc Rolain",38,European Journal of Clinical Microbiology & Infectious Diseases,Education
125,"['Revictimization', 'Polyvictimization', 'Sexual minority', 'LGB', 'Victimization']",Leah E. Daigle,44,Sexuality Research and Social Policy,Computer Science
126,"['Insider trading', 'Market quality', 'Insider trading laws', 'STOCK Act', 'Corruption']","Benjamin M. Blau, Todd G. Griffith & Ryan J. Whitby",399,Journal of Business Ethics,Psychology
127,"['Cocaine trafficking', 'Port', 'Embeddedness', 'Corruption', 'Spaces']",Robby Roks & Richard Staring,2894,Trends in Organized Crime,Psychology 2
128,"['Structural VAR', 'Share prices', 'Zero restrictions', 'Sign restrictions', 'E2', 'E3', 'E4', 'E44']",Nahiyan Azad & Apostolos Serletis,188,Open Economies Review,Biomedicine
129,"['vegetation restoration project', 'summer', 'land surface temperature', 'climate change', 'Loess Plateau']","Guohua He, Yong Zhao, Jianhua Wang, Qingming Wang & Yongnan Zhu",134,Journal of Arid Land,Mathematics
130,"['Online community', 'Offline community', 'Social capital', 'Political engagement', 'Political efficacy']",Kyungmee Park,319,Current Psychology,Computer Science
131,"['Central Asia', 'seasonal precipitation', 'spatiotemporal pattern', 'ENSO']",Xi Chen & Zengyun Hu,332,Journal of Geographical Sciences,Computer Science
132,"['Cortisol', 'Cushing syndrome', 'Metabolomics', 'Lipidomics', 'Biomarkers']","Arturo Vega-Beyhart, Guillermo García-Eguren, Oriol Giró, Laura Boswell, Gloria Aranda, Vanesa Flores, Mireia Mora, Irene Halperin & Felicia A Hanzu",0,Journal of Molecular Medicine,Biomedicine
133,"['Geologic structure', 'Logical model', 'Voxel', 'FOSS4G', 'Open Standards', 'Geo-Vox']",Tatsuya Nemoto & Shinji Masumoto,153,Spatial Information Research,Geography 2
134,"['Displaced aggression', 'Police', 'Arrest', 'Social psychology', 'Demeanor', 'Extralegal factors']",Richard R. Johnson,451,American Journal of Criminal Justice,Geography
135,"['Intimate partner violence', 'Domestic abuse', 'Aboriginal offenders and victims', 'Police', 'Evidence-based targeting']",Jeanette Kerr,2795,Cambridge Journal of Evidence-Based Policing,Philosophy
136,"['COVID-19', 'Pandemic', 'Social restrictions', 'Mental health', 'Cognition', 'Anxiety', 'Depression', 'Quality of life', 'Loneliness', 'Aging']","Joana Nogueira, Bianca Gerardo, Ana Rita Silva, Rosa Barbosa, Maria M. Vilar, Mário R. Simões & Sandra Freitas",0,Current Psychology,Geography
137,"['Genome editing', 'Clustered regularly interspaced short palindromic repeats (CRISPR)/CRISPR-associated protein (Cas)', 'Coronavirus disease 2019 (COVID-19)', 'Cancer', 'Precision breeding', 'Crop improvement', 'Gene knock-out/in', 'Gene repair/replacement', '基因编辑', 'CRISPR/Cas', '新型冠状病毒型肺炎 (COVID-19)', '癌症', '精准育种', '作物改良', '基因敲入和敲除', '基因修复和替代']",Chao Li,54,Journal of Zhejiang University-SCIENCE B,Education
138,"['Publication performance', 'Work environment', 'University', 'Research academics', 'Systematic review']","Emmanuel Aboagye, Irene Jensen, Gunnar Bergström, Elisabeth Björk Brämberg, Oscar Javier Pico-Espinosa & Christina Björklund",904,Scientometrics,Biomedicine
139,"['Euro reform debate', 'European Integration', 'Central and Eastern Europe', 'Expert survey', 'A11', 'E63', 'H63']","Sebastian Blesse, Annika Havlik & Friedrich Heinemann",1162,Empirica,Psychology
140,"['Deep water', 'Dirichlet–Neumann operator', 'Dysthe’s equation', 'Gravity waves', 'Hamiltonian systems', 'Modulation theory', 'Normal forms']",Walter Craig,372,Water Waves,Psychology
141,[],Ella Cockbain & Kate Bowers,14000,"Crime, Law and Social Change",Computer Science
142,"['Knowledge management', 'R&D efficiency', 'Data envelopment analysis', 'Weight restriction', 'Shannon’s entropy method']",M. Hurol Mete & Onder Belgin,108,Journal of the Knowledge Economy,Criminology and Crime Justice
143,"['Sleep quality', 'Mental health', 'Medical workers', 'COVID-19']",Yahua Zheng,689,Sleep and Biological Rhythms,Geography 2
144,"['Dondra lagoon', 'Hydrology', 'True mangroves', 'Tidal inflow', 'Salinity', 'Siltation']","Sanduni Kanishka Madarasinghe, Chamod Harshana Liyanage & Wisnaha Kadawarage Lahiru Priyankara",80,Journal of Coastal Conservation,Physics 2
145,"['Model-driven engineering', 'Model validation', 'Distributed computing', 'Model management', 'Parallelism']","Sina Madani, Dimitris Kolovos & Richard F. Paige",256,Software and Systems Modeling,Economics
146,"['rural China', 'poverty', 'poverty gap index', 'income inequity', 'sustainability']","Qiang Ren, Qingxu Huang, Chunyang He & Mengzhao Tu",311,Journal of Geographical Sciences,Computer Science
147,[],"Chengdong Han, Gang Xie, Rong Wang & Xurong Chen",135,The European Physical Journal C,Mathematics
148,"['Multivariable calculus', 'Functions of two variables', 'Differential calculus', 'Integral calculus']",Rafael Martínez-Planell,67,ZDM – Mathematics Education,Psychology 2
149,"['blind quantum computation', 'mutual identity authentication', 'load balancer', 'semi-trust CA', 'quantum network']","Rui-Ting Shan, Xiubo Chen & Kai-Guo Yuan",11,Science China Information Sciences,Psychology
150,[],"Sarah Wolf, Jonas Teitge & Jahel Mielke",76,Intereconomics,Biomedicine
151,"['Eating disorder', 'Malnutrition', 'Oxidative status', 'Antioxidants', 'Biomarkers']","Alexandra Gaál Kovalčíková, Ľubica Tichá, Alžbeta Čagalová & Ľudmila Podracká",0,Journal of Eating Disorders,Criminology and Crime Justice
152,"['Cauchy horizons', 'Cosmological spacetimes', 'Null generators', 'Symmetries']",Ignacio Bustamante & Martín Reiris,71,General Relativity and Gravitation,Mathematics
